FAIL:  calculateDin(0, 0, 2, 0, 0)  Expected 0.75, but got 1.
FAIL:  calculateDin(0, 0, 2, 0, 3)  Expected null, but got 0.75.
FAIL:  calculateDin(0, 0, 2, 2, 0)  Expected 0.75, but got 1.
FAIL:  calculateDin(0, 0, 2, 2, 3)  Expected null, but got 0.75.
FAIL:  calculateDin(0, 0, 3, 0, 0)  Expected 0.75, but got 1.5.
FAIL:  calculateDin(0, 0, 3, 0, 1)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(0, 0, 3, 0, 2)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(0, 0, 3, 0, 3)  Expected null, but got 1.
FAIL:  calculateDin(0, 0, 3, 2, 0)  Expected 1, but got 1.5.
FAIL:  calculateDin(0, 0, 3, 2, 1)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(0, 0, 3, 2, 2)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(0, 0, 3, 2, 3)  Expected 0.75, but got 1.
FAIL:  calculateDin(0, 0, 4, 0, 0)  Expected 0.75, but got 2.
FAIL:  calculateDin(0, 0, 4, 0, 1)  Expected 0.75, but got 1.75.
FAIL:  calculateDin(0, 0, 4, 0, 2)  Expected 0.75, but got 1.5.
FAIL:  calculateDin(0, 0, 4, 0, 3)  Expected null, but got 1.5.
FAIL:  calculateDin(0, 0, 4, 0, 4)  Expected null, but got 1.25.
FAIL:  calculateDin(0, 0, 4, 2, 0)  Expected 1.5, but got 2.
FAIL:  calculateDin(0, 0, 4, 2, 1)  Expected 1.25, but got 1.75.
FAIL:  calculateDin(0, 0, 4, 2, 2)  Expected 1.25, but got 1.5.
FAIL:  calculateDin(0, 0, 4, 2, 3)  Expected 1, but got 1.5.
FAIL:  calculateDin(0, 0, 4, 2, 4)  Expected null, but got 1.25.
FAIL:  calculateDin(0, 1, 2, 0, 0)  Expected 0.75, but got 1.
FAIL:  calculateDin(0, 1, 2, 0, 3)  Expected null, but got 0.75.
FAIL:  calculateDin(0, 1, 2, 2, 0)  Expected 0.75, but got 1.
FAIL:  calculateDin(0, 1, 2, 2, 3)  Expected null, but got 0.75.
FAIL:  calculateDin(0, 1, 3, 0, 0)  Expected 0.75, but got 1.5.
FAIL:  calculateDin(0, 1, 3, 0, 1)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(0, 1, 3, 0, 2)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(0, 1, 3, 0, 3)  Expected null, but got 1.
FAIL:  calculateDin(0, 1, 3, 2, 0)  Expected 1, but got 1.5.
FAIL:  calculateDin(0, 1, 3, 2, 1)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(0, 1, 3, 2, 2)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(0, 1, 3, 2, 3)  Expected 0.75, but got 1.
FAIL:  calculateDin(0, 1, 4, 0, 0)  Expected 0.75, but got 2.
FAIL:  calculateDin(0, 1, 4, 0, 1)  Expected 0.75, but got 1.75.
FAIL:  calculateDin(0, 1, 4, 0, 2)  Expected 0.75, but got 1.5.
FAIL:  calculateDin(0, 1, 4, 0, 3)  Expected null, but got 1.5.
FAIL:  calculateDin(0, 1, 4, 0, 4)  Expected null, but got 1.25.
FAIL:  calculateDin(0, 1, 4, 2, 0)  Expected 1.5, but got 2.
FAIL:  calculateDin(0, 1, 4, 2, 1)  Expected 1.25, but got 1.75.
FAIL:  calculateDin(0, 1, 4, 2, 2)  Expected 1.25, but got 1.5.
FAIL:  calculateDin(0, 1, 4, 2, 3)  Expected 1, but got 1.5.
FAIL:  calculateDin(0, 1, 4, 2, 4)  Expected null, but got 1.25.
FAIL:  calculateDin(0, 2, 2, 0, 0)  Expected 0.75, but got 1.
FAIL:  calculateDin(0, 2, 2, 0, 3)  Expected null, but got 0.75.
FAIL:  calculateDin(0, 2, 2, 2, 0)  Expected 0.75, but got 1.
FAIL:  calculateDin(0, 2, 2, 2, 3)  Expected null, but got 0.75.
FAIL:  calculateDin(0, 2, 3, 0, 0)  Expected 0.75, but got 1.5.
FAIL:  calculateDin(0, 2, 3, 0, 1)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(0, 2, 3, 0, 2)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(0, 2, 3, 0, 3)  Expected null, but got 1.
FAIL:  calculateDin(0, 2, 3, 2, 0)  Expected 1, but got 1.5.
FAIL:  calculateDin(0, 2, 3, 2, 1)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(0, 2, 3, 2, 2)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(0, 2, 3, 2, 3)  Expected 0.75, but got 1.
FAIL:  calculateDin(0, 2, 4, 0, 0)  Expected 0.75, but got 2.
FAIL:  calculateDin(0, 2, 4, 0, 1)  Expected 0.75, but got 1.75.
FAIL:  calculateDin(0, 2, 4, 0, 2)  Expected 0.75, but got 1.5.
FAIL:  calculateDin(0, 2, 4, 0, 3)  Expected null, but got 1.5.
FAIL:  calculateDin(0, 2, 4, 0, 4)  Expected null, but got 1.25.
FAIL:  calculateDin(0, 2, 4, 2, 0)  Expected 1.5, but got 2.
FAIL:  calculateDin(0, 2, 4, 2, 1)  Expected 1.25, but got 1.75.
FAIL:  calculateDin(0, 2, 4, 2, 2)  Expected 1.25, but got 1.5.
FAIL:  calculateDin(0, 2, 4, 2, 3)  Expected 1, but got 1.5.
FAIL:  calculateDin(0, 2, 4, 2, 4)  Expected null, but got 1.25.
FAIL:  calculateDin(0, 3, 2, 0, 0)  Expected 0.75, but got 1.
FAIL:  calculateDin(0, 3, 2, 0, 3)  Expected null, but got 0.75.
FAIL:  calculateDin(0, 3, 2, 2, 0)  Expected 0.75, but got 1.
FAIL:  calculateDin(0, 3, 2, 2, 3)  Expected null, but got 0.75.
FAIL:  calculateDin(0, 3, 3, 0, 0)  Expected 0.75, but got 1.5.
FAIL:  calculateDin(0, 3, 3, 0, 1)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(0, 3, 3, 0, 2)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(0, 3, 3, 0, 3)  Expected null, but got 1.
FAIL:  calculateDin(0, 3, 3, 2, 0)  Expected 1, but got 1.5.
FAIL:  calculateDin(0, 3, 3, 2, 1)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(0, 3, 3, 2, 2)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(0, 3, 3, 2, 3)  Expected 0.75, but got 1.
FAIL:  calculateDin(0, 3, 4, 0, 0)  Expected 0.75, but got 2.
FAIL:  calculateDin(0, 3, 4, 0, 1)  Expected 0.75, but got 1.75.
FAIL:  calculateDin(0, 3, 4, 0, 2)  Expected 0.75, but got 1.5.
FAIL:  calculateDin(0, 3, 4, 0, 3)  Expected null, but got 1.5.
FAIL:  calculateDin(0, 3, 4, 0, 4)  Expected null, but got 1.25.
FAIL:  calculateDin(0, 3, 4, 2, 0)  Expected 1.5, but got 2.
FAIL:  calculateDin(0, 3, 4, 2, 1)  Expected 1.25, but got 1.75.
FAIL:  calculateDin(0, 3, 4, 2, 2)  Expected 1.25, but got 1.5.
FAIL:  calculateDin(0, 3, 4, 2, 3)  Expected 1, but got 1.5.
FAIL:  calculateDin(0, 3, 4, 2, 4)  Expected null, but got 1.25.
FAIL:  calculateDin(0, 4, 2, 0, 0)  Expected 0.75, but got 1.
FAIL:  calculateDin(0, 4, 2, 0, 3)  Expected null, but got 0.75.
FAIL:  calculateDin(0, 4, 2, 2, 0)  Expected 0.75, but got 1.
FAIL:  calculateDin(0, 4, 2, 2, 3)  Expected null, but got 0.75.
FAIL:  calculateDin(0, 4, 3, 0, 0)  Expected 0.75, but got 1.5.
FAIL:  calculateDin(0, 4, 3, 0, 1)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(0, 4, 3, 0, 2)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(0, 4, 3, 0, 3)  Expected null, but got 1.
FAIL:  calculateDin(0, 4, 3, 2, 0)  Expected 1, but got 1.5.
FAIL:  calculateDin(0, 4, 3, 2, 1)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(0, 4, 3, 2, 2)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(0, 4, 3, 2, 3)  Expected 0.75, but got 1.
FAIL:  calculateDin(0, 4, 4, 0, 0)  Expected 0.75, but got 2.
FAIL:  calculateDin(0, 4, 4, 0, 1)  Expected 0.75, but got 1.75.
FAIL:  calculateDin(0, 4, 4, 0, 2)  Expected 0.75, but got 1.5.
FAIL:  calculateDin(0, 4, 4, 0, 3)  Expected null, but got 1.5.
